condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,loss,test_acc
low_sample_noisy,ndfa_random_kronecker,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.2611383497714996,0.480224609375
low_sample_noisy,ndfa_random_kronecker,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.3024728000164032,0.45556640625
nuisance_dominant,drtp_random,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,2201589760.0,0.12451171875
nuisance_dominant,vnc,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.4526820182800293,0.1533203125
nuisance_dominant,drtp_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,3388510976.0,0.12451171875
nuisance_dominant,vnc,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.426245093345642,0.14990234375
task_aligned,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,5.7194013595581055,0.303466796875
task_aligned,bp,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.3947312831878662,0.907470703125
nuisance_dominant,ndfa_random_kronecker,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.095059685409069,0.34326171875
nuisance_dominant,drtp_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,3510140416.0,0.11962890625
task_aligned,bp,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.4457874298095703,0.9150390625
low_sample_noisy,nmnc,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.5167771577835083,0.526611328125
low_sample_noisy,vnc,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.3294479846954346,0.529541015625
low_sample_noisy,nmnc,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.5039650201797483,0.525146484375
low_sample_noisy,nmnc,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.5051363706588743,0.52294921875
low_sample_noisy,vnc,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.2975677251815796,0.540771484375
low_sample_noisy,vnc,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.3256880044937134,0.53466796875
low_sample_noisy,drtp_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,1567347048448.0,0.1259765625
task_aligned,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,402.7247924804688,0.46435546875
task_aligned,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,580.8125610351562,0.582275390625
nuisance_dominant,fa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,332593.6875,0.12548828125
nuisance_dominant,ndfa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.6717239618301392,0.3779296875
nuisance_dominant,fa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,563161.75,0.12548828125
nuisance_dominant,fa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,403397.4375,0.122314453125
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,24293.7421875,0.122802734375
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,77801.0859375,0.122802734375
task_aligned,vnc,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.554901361465454,0.896484375
task_aligned,vnc,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.5520119667053225,0.89697265625
low_sample_noisy,fa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,545685.6875,0.17041015625
low_sample_noisy,ndfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.8470807075500488,0.509765625
low_sample_noisy,ndfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.8344747424125671,0.513427734375
low_sample_noisy,ndfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.8414212465286255,0.51318359375
task_aligned,fa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,140619.125,0.19140625
low_sample_noisy,fa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1030189.8125,0.2041015625
low_sample_noisy,fa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,21556.728515625,0.1806640625
task_aligned,fa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,170919.96875,0.263916015625
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,9239.2607421875,0.413330078125
low_sample_noisy,fa_random,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,3531.685302734375,0.134521484375
low_sample_noisy,dfa_random,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,474057.0,0.15234375
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,8902.2197265625,0.141845703125
task_aligned,nmnc,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.5056926012039185,0.890380859375
low_sample_noisy,bp,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.142924666404724,0.561767578125
task_aligned,nmnc,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.502533793449402,0.889404296875
nuisance_dominant,ndfa_random_kronecker,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.0886527895927429,0.343017578125
nuisance_dominant,ndfa_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.7648294568061829,0.284912109375
nuisance_dominant,ndfa_random_kronecker,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.1068292930722236,0.343505859375
task_aligned,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,17.236852645874023,0.384033203125
task_aligned,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.698475956916809,0.71923828125
nuisance_dominant,ndfa_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.7703258991241455,0.3017578125
nuisance_dominant,ndfa_random,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.7060120105743408,0.2998046875
low_sample_noisy,nmnc,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.6791729927062988,0.43896484375
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,351861.46875,0.208984375
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,27578.60546875,0.24951171875
task_aligned,ndfa_random_kronecker,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.5804078578948975,0.653076171875
task_aligned,ndfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.1186747550964355,0.819091796875
low_sample_noisy,nmnc,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.6770212650299072,0.4541015625
task_aligned,ndfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.108607530593872,0.7646484375
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,42349.51171875,0.197509765625
low_sample_noisy,bp,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.1384286880493164,0.507568359375
nuisance_dominant,ndfa_random_kronecker,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.0869402214884758,0.40673828125
nuisance_dominant,ndfa_random_kronecker,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.0917589515447616,0.415283203125
nuisance_dominant,ndfa_random_kronecker,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.0919050052762031,0.399658203125
task_aligned,vnc,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.5495017766952517,0.896484375
task_aligned,drtp_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,15102531.0,0.228759765625
nuisance_dominant,ndfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.7421616315841675,0.3720703125
nuisance_dominant,ndfa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.6731298565864563,0.381591796875
nuisance_dominant,dfa_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,114232.796875,0.12744140625
nuisance_dominant,fa_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,368450.84375,0.123046875
nuisance_dominant,fa_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,57063.53125,0.117919921875
nuisance_dominant,fa_random,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,2598840.5,0.125244140625
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,133681.265625,0.12451171875
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,58014.25,0.127197265625
task_aligned,fa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,15573.7255859375,0.61279296875
task_aligned,fa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,30783.3828125,0.570068359375
task_aligned,nmnc,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.5021370649337769,0.890380859375
low_sample_noisy,ndfa_random,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.7894319295883179,0.558837890625
low_sample_noisy,ndfa_random,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.7812160849571228,0.553466796875
low_sample_noisy,ndfa_random,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.7901903390884399,0.557373046875
nuisance_dominant,nmnc,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.6036165952682495,0.17431640625
task_aligned,vnc,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.4589011669158936,0.89990234375
low_sample_noisy,fa_random,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,3637.920166015625,0.263427734375
low_sample_noisy,fa_random,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,299.0025329589844,0.2138671875
task_aligned,drtp_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,10848250.0,0.13037109375
nuisance_dominant,vnc,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.186681032180786,0.163330078125
nuisance_dominant,vnc,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.2600659132003784,0.169921875
nuisance_dominant,nmnc,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.5906267166137695,0.157470703125
task_aligned,drtp_random,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,7114091.5,0.251708984375
nuisance_dominant,drtp_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,2796705024.0,0.125244140625
nuisance_dominant,drtp_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,3191322368.0,0.125
nuisance_dominant,drtp_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,2786317056.0,0.12451171875
low_sample_noisy,vnc,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.4318296909332275,0.4736328125
low_sample_noisy,vnc,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.3644022941589355,0.506591796875
low_sample_noisy,nmnc,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.648418426513672,0.466064453125
low_sample_noisy,vnc,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.4225342273712158,0.487060546875
task_aligned,ndfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.1247385740280151,0.79638671875
low_sample_noisy,drtp_random,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,1269303869440.0,0.128173828125
low_sample_noisy,drtp_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,1584520495104.0,0.12939453125
low_sample_noisy,drtp_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,824787533824.0,0.119384765625
nuisance_dominant,nmnc,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.5864145755767822,0.16943359375
nuisance_dominant,nmnc,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.5162532329559326,0.169921875
nuisance_dominant,vnc,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.1345258951187134,0.185302734375
nuisance_dominant,bp,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.0164616107940674,0.161865234375
nuisance_dominant,vnc,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.3003017902374268,0.173828125
task_aligned,ndfa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.199176788330078,0.856689453125
task_aligned,fa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,17935.177734375,0.392578125
low_sample_noisy,ndfa_random_kronecker,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.2349048852920532,0.49267578125
low_sample_noisy,drtp_random,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,337770512384.0,0.135498046875
low_sample_noisy,drtp_random,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,360558690304.0,0.121826171875
low_sample_noisy,vnc,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.2933664321899414,0.572265625
low_sample_noisy,drtp_random,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,551279329280.0,0.12744140625
task_aligned,vnc,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.4649615287780762,0.897705078125
task_aligned,vnc,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.4597625732421875,0.900390625
low_sample_noisy,ndfa_random_kronecker,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.2803730070590973,0.498779296875
low_sample_noisy,ndfa_random_kronecker,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.2941970825195312,0.49365234375
nuisance_dominant,bp,3.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.9250425696372986,0.18310546875
nuisance_dominant,nmnc,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.5313106775283811,0.16064453125
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.4,12852.87890625,0.120849609375
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.4,39065.328125,0.126953125
nuisance_dominant,nmnc,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.501792550086975,0.17041015625
task_aligned,ndfa_random_kronecker,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.6757398843765259,0.673095703125
task_aligned,ndfa_random_kronecker,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.7139894962310791,0.6904296875
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.4,19915.818359375,0.127197265625
low_sample_noisy,ndfa_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.879893958568573,0.535400390625
low_sample_noisy,ndfa_random_kronecker,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.3722559809684753,0.46728515625
low_sample_noisy,ndfa_random_kronecker,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.4951675832271576,0.453857421875
low_sample_noisy,ndfa_random_kronecker,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.3436539471149444,0.480712890625
nuisance_dominant,vnc,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.3898358345031738,0.15966796875
task_aligned,ndfa_random_kronecker,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.5264712572097778,0.630859375
task_aligned,ndfa_random_kronecker,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.4910261332988739,0.601806640625
low_sample_noisy,ndfa_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.9048795700073242,0.527587890625
task_aligned,ndfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.2212165594100952,0.85546875
nuisance_dominant,drtp_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,977510336.0,0.135498046875
nuisance_dominant,drtp_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,1113263360.0,0.135498046875
nuisance_dominant,vnc,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.2016044855117798,0.18798828125
nuisance_dominant,drtp_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,1706244864.0,0.125244140625
task_aligned,ndfa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.174120306968689,0.860107421875
nuisance_dominant,ndfa_random_kronecker,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.1070128753781318,0.416259765625
nuisance_dominant,ndfa_random_kronecker,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.1044712588191032,0.4287109375
nuisance_dominant,ndfa_random_kronecker,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.0811448171734809,0.408935546875
low_sample_noisy,nmnc,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.53164803981781,0.538818359375
low_sample_noisy,nmnc,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.4553369283676147,0.583740234375
low_sample_noisy,vnc,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.2894731760025024,0.558837890625
low_sample_noisy,bp,4.0,0.0,0.0,14.0,4096.0,0.15,0.4,1.137216091156006,0.547119140625
low_sample_noisy,nmnc,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,1.4717521667480469,0.574462890625
task_aligned,drtp_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,59818188800.0,0.203125
task_aligned,drtp_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,36318146560.0,0.30908203125
low_sample_noisy,vnc,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,1.3469940423965454,0.558837890625
nuisance_dominant,fa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.4,411104.59375,0.135009765625
nuisance_dominant,ndfa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.6890375018119812,0.386962890625
nuisance_dominant,ndfa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.6483195424079895,0.408935546875
nuisance_dominant,ndfa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.68878173828125,0.38671875
task_aligned,ndfa_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.3192745447158811,0.84912109375
nuisance_dominant,fa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.4,220884.484375,0.121337890625
nuisance_dominant,fa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.4,34043.96875,0.125
task_aligned,ndfa_random_kronecker,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.6478741765022278,0.669677734375
low_sample_noisy,fa_random,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,3568914.25,0.198974609375
low_sample_noisy,ndfa_random,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.8821815848350525,0.507568359375
low_sample_noisy,fa_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,4210226.5,0.154052734375
low_sample_noisy,fa_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,28493.826171875,0.16552734375
task_aligned,drtp_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,56859865088.0,0.18212890625
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,78498.078125,0.149169921875
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,44429.34765625,0.146728515625
task_aligned,drtp_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,59591647232.0,0.481201171875
low_sample_noisy,dfa_random,4.0,2.0,0.0,14.0,4096.0,0.15,0.4,35201.28125,0.18701171875
low_sample_noisy,fa_random,4.0,2.0,0.0,14.0,4096.0,0.15,0.4,34924.7578125,0.10595703125
low_sample_noisy,fa_random,4.0,1.0,0.0,14.0,4096.0,0.15,0.4,270037.1875,0.182861328125
low_sample_noisy,fa_random,4.0,0.0,0.0,14.0,4096.0,0.15,0.4,1568254.0,0.142578125
task_aligned,ndfa_random_kronecker,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.5787097811698914,0.628173828125
low_sample_noisy,dfa_random,4.0,1.0,0.0,14.0,4096.0,0.15,0.4,116495.4609375,0.228759765625
low_sample_noisy,dfa_random,4.0,0.0,0.0,14.0,4096.0,0.15,0.4,50090.28515625,0.374267578125
task_aligned,drtp_random,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,44463882240.0,0.37451171875
nuisance_dominant,ndfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.6396937966346741,0.399658203125
nuisance_dominant,ndfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.6395571827888489,0.410400390625
nuisance_dominant,ndfa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.5327683091163635,0.380859375
task_aligned,ndfa_random_kronecker,2.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.5866631269454956,0.684326171875
task_aligned,ndfa_random_kronecker,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.6225531697273254,0.67919921875
nuisance_dominant,fa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,67637.375,0.123779296875
nuisance_dominant,fa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,237448.90625,0.130615234375
nuisance_dominant,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,30697.388671875,0.138916015625
nuisance_dominant,fa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,82204.8671875,0.135986328125
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,72960.21875,0.12255859375
nuisance_dominant,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,92533.8046875,0.10791015625
task_aligned,ndfa_random_kronecker,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.6369228363037109,0.685546875
nuisance_dominant,bp,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.902125120162964,0.18505859375
task_aligned,drtp_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,14890148.0,0.360107421875
task_aligned,ndfa_random_kronecker,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.5275576114654541,0.644775390625
low_sample_noisy,ndfa_random_kronecker,4.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.3556861579418182,0.48828125
low_sample_noisy,ndfa_random,4.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.9078332781791688,0.52197265625
low_sample_noisy,ndfa_random_kronecker,4.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.2788340151309967,0.49609375
task_aligned,ndfa_random_kronecker,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.5692212581634521,0.61181640625
low_sample_noisy,ndfa_random,4.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.8690740466117859,0.534423828125
low_sample_noisy,ndfa_random,4.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.855756938457489,0.544189453125
